scenario_id,scenario_label,policy,episode,seed,shock_month,shock_label,pre_shock_rule_40,recovery_month,recovery_time_months,recovered
boardroom,Boardroom Baseline,boardroom,0,0,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-38.61556600390571,,,False
boardroom,Boardroom Baseline,boardroom,0,0,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-47.55437214084422,51.0,3.0,True
boardroom,Boardroom Baseline,boardroom,0,0,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-55.23703519973766,,,False
boardroom,Boardroom Baseline,boardroom,1,1,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-39.80896731435322,35.0,11.0,True
boardroom,Boardroom Baseline,boardroom,1,1,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-44.58222169707387,,,False
boardroom,Boardroom Baseline,boardroom,1,1,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-56.77302823868895,73.0,1.0,True
boardroom,Boardroom Baseline,boardroom,2,2,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-36.474753509347316,,,False
boardroom,Boardroom Baseline,boardroom,2,2,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-41.39984170647942,,,False
boardroom,Boardroom Baseline,boardroom,2,2,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-55.75825683232453,75.0,3.0,True
boardroom,Boardroom Baseline,boardroom,3,3,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-43.3407268712726,,,False
boardroom,Boardroom Baseline,boardroom,3,3,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-51.00868741263787,,,False
boardroom,Boardroom Baseline,boardroom,3,3,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-65.15043172462981,74.0,2.0,True
boardroom,Boardroom Baseline,boardroom,4,4,24,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-28.734958716919518,85.0,61.0,True
boardroom,Boardroom Baseline,boardroom,4,4,48,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-36.69532471877031,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,4,4,72,"RATE_HIKE: +400bps, valuation -40%, confidence crash",-37.195391540227966,73.0,1.0,True
boardroom,Boardroom Baseline,boardroom,5,5,24,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-42.30835521015687,31.0,7.0,True
boardroom,Boardroom Baseline,boardroom,5,5,48,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-51.38775507381963,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,5,5,72,"RECESSION: confidence=55, unemployment spike, B2C churn doubled",-64.02647231051442,,,False
boardroom,Boardroom Baseline,boardroom,6,6,24,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-39.907320633289984,25.0,1.0,True
boardroom,Boardroom Baseline,boardroom,6,6,48,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-49.50859365467348,49.0,1.0,True
boardroom,Boardroom Baseline,boardroom,6,6,72,"COMPETITOR_SURGE: 3 new entrants, forced price cut, SMB churn +50%",-62.841707602103014,,,False
