scenario_id,scenario_label,policy,episode,seed,steps,cause,total_reward,final_mrr,final_cash,final_cac,final_ltv,final_ltv_cac,final_headcount,final_valuation_multiple,final_unemployment,final_innovation_factor,depression_months,avg_rule_40,pct_above_40,shock_count,recovered_shock_count,recovered_shock_rate_pct,mean_recovery_time_months,median_recovery_time_months,post_shock_avg_rule40_25_60,oracle_refresh_requests,cadence_refreshes,event_refreshes,cache_hits,llm_calls
boardroom,Boardroom Baseline,boardroom,0,0,120,Time Limit,-1532.1661536481467,15640.283409216603,11825870.660351824,104.43136056410009,118.55758434987017,1.1352680239869075,63,0.7545852694965045,18.5,0.3340443664006449,49,-331.36380574866723,0.0,3,1,33.33333333333333,3.0,3.0,-47.244374320958755,0,0,0,0,0
boardroom,Boardroom Baseline,boardroom,1,1,120,Time Limit,-1449.7789379131837,553179.4878887987,28220647.48059915,169.701765812879,518.1769959534005,3.053456712552811,83,1.2136125553903807,24.5,0.3132539478538567,74,-63.866450583893496,0.0,3,2,66.66666666666666,6.0,6.0,-44.4953049116824,0,0,0,0,0
boardroom,Boardroom Baseline,boardroom,2,2,120,Time Limit,-1535.428517638022,831263.9640839437,36166467.05214152,120.86418753585933,460.3982353381817,3.8092196267946252,78,1.767365396068711,34.0,0.3161627556519694,93,-56.054976801846166,0.0,3,1,33.33333333333333,3.0,3.0,-45.00794172884054,0,0,0,0,0
boardroom,Boardroom Baseline,boardroom,3,3,120,Time Limit,-1731.1112410404944,167461.1650980404,13616804.639700552,84.92951249229104,264.2909247829337,3.111885574604271,66,0.5561222371462791,29.5,0.3089854763037945,102,-92.78379313717205,0.0,3,1,33.33333333333333,2.0,2.0,-53.26632761826222,0,0,0,0,0
boardroom,Boardroom Baseline,boardroom,4,4,120,Time Limit,-1218.8067805790513,5294993.786186527,150874555.7245799,195.64728782499935,336.0649198567734,1.7177080428396911,99,1.0229757167841267,24.5,0.4548294069556903,72,-32.78950308366144,0.0,3,3,100.0,21.0,1.0,-36.284285808985274,0,0,0,0,0
boardroom,Boardroom Baseline,boardroom,5,5,120,Time Limit,-1574.4388384821457,300541.44285942154,19286300.110275615,77.62083557698439,210.10839793183104,2.7068556576339016,77,0.848352504862432,38.0,0.3098111101934736,91,-77.44347514955692,0.0,3,2,66.66666666666666,4.0,4.0,-49.927151525663845,0,0,0,0,0
boardroom,Boardroom Baseline,boardroom,6,6,120,Time Limit,-1740.4789403793886,29688.900489722735,7917337.803817555,35.138049563500815,73.99373657917872,2.1058009052397355,62,1.1097674951210392,23.0,0.31105793641869145,79,-233.72020665090002,0.0,3,2,66.66666666666666,1.0,1.0,-47.396842196318396,0,0,0,0,0
boardroom,Boardroom Baseline,boardroom,7,7,120,Time Limit,-1432.2813053552309,1941521.2277976782,49601540.801815875,462.21089069544854,494.9003786839118,1.0707241838012043,98,1.1294695404185615,21.0,0.38064695102238194,96,-53.02521787852023,0.0,3,3,100.0,10.0,4.0,-51.14094128724543,0,0,0,0,0
boardroom,Boardroom Baseline,boardroom,8,8,120,Time Limit,-1595.19669667084,210720.87151580837,6206311.018158678,101.79139392403721,301.5842022254946,2.962767190815313,68,0.8015706223358455,38.0,0.3096938532161856,67,-96.34213063709312,0.0,3,2,66.66666666666666,4.5,4.5,-56.4533239603211,0,0,0,0,0
boardroom,Boardroom Baseline,boardroom,9,9,120,Time Limit,-1614.4405318425622,273247.0170775404,12854701.475028316,84.92868586000185,73.86897225961891,0.8697764661210702,75,0.4747429450578612,30.5,0.3091666274972997,99,-83.40564790026964,0.0,3,2,66.66666666666666,7.0,7.0,-55.48902374696905,0,0,0,0,0
